GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2020-07-25,11900113,Final,1610612758,1610612749,2019,1610612758,123.0,"0,41","0,89","0,33",23.0,42.0,1610612749,131.0,"0,488","0,795","0,444",29.0,54.0,0
2020-07-25,11900114,Final,1610612762,1610612748,2019,1610612762,101.0,"0,44","0,79","0,35",25.0,47.0,1610612748,99.0,"0,414","0,8","0,256",28.0,42.0,1
2020-07-25,11900115,Final,1610612759,1610612751,2019,1610612759,119.0,"0,46","0,86","0,42",21.0,57.0,1610612751,124.0,"0,432","0,757","0,318",27.0,45.0,0
2020-07-25,11900116,Final,1610612764,1610612746,2019,1610612764,100.0,"0,36","0,56","0,26",13.0,63.0,1610612746,105.0,"0,47","0,462","0,395",23.0,47.0,0
2020-07-25,11900117,Final,1610612740,1610612743,2019,1610612740,119.0,"0,51","0,74","0,42",37.0,43.0,1610612743,104.0,"0,393","0,676","0,355",21.0,46.0,1
2020-07-24,11900109,Final,1610612755,1610612763,2019,1610612755,90.0,"0,43","0,83","0,33",26.0,44.0,1610612763,83.0,"0,397","0,563","0,375",24.0,41.0,1
2020-07-24,11900110,Final,1610612738,1610612760,2019,1610612738,84.0,"0,44","0,70","0,21",25.0,33.0,1610612760,98.0,"0,521","0,737","0,333",19.0,41.0,0
2020-07-24,11900111,Final,1610612761,1610612745,2019,1610612761,94.0,"0,48","0,84","0,29",25.0,43.0,1610612745,83.0,"0,377","0,917","0,292",18.0,38.0,1
2020-07-23,11900105,Final,1610612749,1610612759,2019,1610612749,113.0,"0,47","0,79","0,30",21.0,35.0,1610612759,92.0,"0,455","0,737","0,348",23.0,39.0,1
2020-07-23,11900106,Final,1610612754,1610612757,2019,1610612754,91.0,"0,41","0,89","0,39",21.0,42.0,1610612757,88.0,"0,413","0,85","0,192",17.0,37.0,1
2020-07-23,11900107,Final,1610612747,1610612742,2019,1610612747,104.0,"0,49","0,73","0,27",18.0,38.0,1610612742,108.0,"0,541","0,636","0,368",21.0,37.0,0
2020-07-23,11900108,Final,1610612762,1610612756,2019,1610612762,88.0,"0,51","0,75","0,42",17.0,24.0,1610612756,101.0,"0,514","0,793","0,273",17.0,38.0,0
2020-07-22,11900101,Final,1610612746,1610612753,2019,1610612746,99.0,"0,44","0,79","0,39",21.0,43.0,1610612753,90.0,"0,421","0,808","0,179",21.0,42.0,1
2020-07-22,11900102,Final,1610612743,1610612764,2019,1610612743,89.0,"0,44","0,82","0,32",18.0,47.0,1610612764,82.0,"0,365","0,688","0,265",22.0,34.0,1
2020-07-22,11900103,Final,1610612751,1610612740,2019,1610612751,68.0,"0,35","0,83","0,25",14.0,34.0,1610612740,99.0,"0,468","0,8","0,406",24.0,39.0,0
